Descricao_Problema,pecas,Sintomas,Solucoes
Carro não liga,Bateria,Carro não liga,Substituir a bateria
Ruído estranho ao frear,Pastilhas de freio,Ruído ao frear,Trocar as pastilhas de freio
Aquecimento do motor após 15 minutos,Radiador,Motor superaquecido,Verificar e substituir o radiador
Perda de potência em subidas,Motor,Falta de potência em subidas,Substituir o filtro de combustível
Vibração no volante,Balanceamento das rodas,Vibração ao dirigir,Trocar o pivô de suspensão
Direção dura,Coluna de direção,Dificuldade na direção,Verificar e substituir a caixa de direção
Fumaça saindo do escapamento,Sistema de escape,Fumaça no escapamento,Reparar o sistema de escape
Cheiro de gasolina dentro do carro,Sistema de combustível,Cheiro de gasolina,Trocar a bomba de combustível
Luz do óleo acesa,Óleo do motor,Luz do óleo acesa,Substituir o sensor de óleo
Freios não respondem,Sistema de freios,Freios ineficazes,Trocar os discos de freio
Carro engasga,Sistema de injeção,Engasgos ao acelerar,Verificar e substituir os injetores
Perda de eficiência de combustível,Filtro de combustível,Baixo rendimento de combustível,Substituir o filtro de ar
Problemas ao engatar marchas,Sistema de escapamento,Dificuldade nas marchas,Verificar e ajustar o câmbio
Barulho de arranhão ao acelerar,Sistema de ignição,Barulho ao acelerar,Trocar o rolamento de roda
Luz do motor acesa,Suspensão,Luz do motor acesa,Substituir as velas de ignição
Acelerador não responde,Motor,Acelerador não responde,Trocar o acelerador
Problemas na suspensão,Alinhamento das rodas,Dificuldade na suspensão,Trocar os amortecedores
Ruído no motor,Sistema de injeção,Ruído no motor,Substituir a correia dentada
Carro puxa para um lado,Sistema de suspensão,Carro puxa para um lado,Trocar o kit de polias
Desempenho irregular do motor,Ar condicionado,Desempenho instável,Verificar e substituir a central de injeção
Carro treme ao acelerar,Painel de instrumentos,Tremor ao acelerar,Verificar e substituir o motor
Problemas no ar condicionado,Sistema de aceleração,Problemas no ar condicionado,Verificar e ajustar o ar condicionado
Luzes do painel piscando,Para-brisa,Luzes piscando,Trocar o painel de luzes
Carro não acelera,Sistema de lubrificação,Carro não acelera,Substituir a válvula termostática
Rachaduras no para-brisa,Transmissão,Rachaduras no vidro,Trocar o vidro
Fugas de óleo,Sistema de combustível,Vazamentos de óleo,Substituir as juntas do motor
Problemas com a transmissão,Sistema de arranque,Problemas na transmissão,Verificar e substituir o sistema de transmissão
Aumento no consumo de combustível,Sistema de escape,Aumento no consumo de combustível,Verificar e ajustar a injeção
Carro faz barulho ao dar partida,Bomba de combustível,Barulho ao iniciar,Trocar o motor de partida
Escapamento ruidoso,Sistema de suspensão,Escapamento barulhento,Reparar o sistema de exaustão
Problemas na bomba de combustível,Sistema de injeção,Problemas na bomba de combustível,Substituir a bomba de combustível
Carro derrapa em curvas,Bateria,Derrapagem em curvas,Verificar e ajustar a suspensão
Falha no sistema de injeção,Sistema de arrefecimento,Falha na injeção,Substituir o filtro de combustível
Luz de bateria acesa,Sistema de freios,Luz da bateria acesa,Trocar o alternador
Vazamento de líquido de arrefecimento,Acelerador,Vazamento de refrigerante,Substituir a bomba d'água
Carro não responde ao freio,Embreagem,Problemas com o freio,Verificar e substituir o cilindro de freio
Acelerador travado,Suspensão,Acelerador travado,Trocar o acelerador
Problemas com a embreagem,Sistema de direção,Problemas com a embreagem,Substituir o disco de embreagem
Suspensão estourada,Sistema de ignição,Suspensão danificada,Trocar os amortecedores
Carro puxa ao acelerar,Óleo do motor,Carro puxa ao acelerar,Verificar e substituir os pivôs de direção
Ruído de batida ao dirigir,Sistema de marcha lenta,Barulho ao dirigir,Trocar o rolamento de roda
Problemas no sistema de ignição,Sistema de suspensão,Falha no sistema de ignição,Verificar e substituir o sistema de ignição
Aquecimento do óleo,Alternador,Aquecimento do óleo,Substituir o radiador
Carro não mantém a marcha lenta,Sistema de iluminação,Marcha lenta instável,Trocar a válvula de controle de marcha lenta
Carro vibra ao parar,Sistema de direção,Tremores ao parar,Trocar o disco de freio
Problemas no alternador,Sistema elétrico,Problemas no alternador,Verificar e substituir o alternador
Luzes de freio não acendem,Sistema de escape,Luzes de freio não acendem,Substituir as lâmpadas de freio
Barulho de estalo ao virar,Sistema de controle,Estalos ao virar,Trocar a junta homocinética
Problemas com o sistema elétrico,Pedal de freio,Problemas elétricos,Verificar e ajustar o sistema elétrico
Carro não desliga,Catalisador,Carro não desliga,Substituir o motor de partida
Ruído metálico ao dirigir,Eixo,Barulho metálico ao dirigir,Trocar o sistema de exaustão
Carro derrapando em chuva,Sistema de potência,Derrapagem na chuva,Substituir os pneus
Problemas na válvula de controle,Sistema de vibração,Problemas na válvula,Trocar a válvula termostática
Carro não responde ao pedal,Sistema de desaceleração,Acelerador não responde,Verificar e substituir o acelerador
Fumaça azul do escapamento,Sistema de ABS,Fumaça azul,Trocar o motor de exaustão
Problemas no catalisador,Sistema de escape,Problemas no catalisador,Substituir o catalisador
Ruído no eixo,Caixa de direção,Ruído no eixo,Trocar o rolamento do eixo
Perda de potência ao subir,Rolamento,Perda de potência em subidas,Substituir a bomba de combustível
Carro vibra ao dirigir,Sistema de aceleração,Tremores ao dirigir,Verificar e substituir a suspensão
Carro faz barulho ao desacelerar,Embreagem,Barulho ao desacelerar,Trocar os amortecedores
Luz de ABS acesa,Airbag,Luz de ABS acesa,Substituir o sensor de ABS
Problemas com o sistema de exaustão,Comando de válvulas,Problemas no exaustor,Verificar e substituir o sistema de exaustão
Carro engasga ao acelerar,Sistema de ignição,Engasgos ao acelerar,Verificar e substituir os injetores
Problemas na caixa de direção,Sistema de escape,Problemas na direção,Verificar e ajustar a direção
Ruído de rolamento,Sistema de refrigeração,Ruído de rolamento,Trocar o rolamento de roda
Carro não acelera corretamente,Sistema de velocidade,Desempenho irregular,Substituir a correia de alternador
Carro treme ao soltar a embreagem,Sistema de alerta,Tremores ao soltar a embreagem,Verificar e ajustar o sistema de embreagem
Luz de airbag acesa,Sistema de aceleração,Luz do airbag acesa,Substituir o sensor de airbag
Problemas no comando de válvulas,Filtro de ar,Problemas nas válvulas,Trocar as válvulas de controle
Carro não arranca com facilidade,Sistema de ignição,Dificuldade para arrancar,Verificar e substituir o sistema de ignição
Cheiro de queimado no carro,Sensor de oxigênio,Cheiro de queimado,Trocar os fios de ignição
Barulho de solavancos,Sistema de frenagem,Barulho de solavancos,Substituir os amortecedores
Carro faz barulho ao virar a chave,Sistema de combustível,Barulho ao virar a chave,Trocar o motor de partida
Problemas com o sistema de refrigeração,Sistema de direção,Problemas no sistema de refrigeração,Verificar e substituir o radiador
Carro não mantém a velocidade,Catalisador,Velocidade instável,Trocar o sensor de velocidade
Luzes de alerta acesas,Motor de arranque,Luzes de alerta acesas,Substituir o painel de luzes
Carro não retoma a aceleração,Engrenagem,Acelerador não responde,Trocar o acelerador
Problemas com o filtro de ar,Embreagem,Problemas no filtro de ar,Trocar o filtro de ar
Carro vibra ao ligar,Bomba d'água,Tremores ao ligar,Verificar e substituir o motor de arranque
Barulho de explosão no motor,Sistema de direção,Barulho de explosão,Trocar a bomba de combustível
Problemas no sensor de oxigênio,Sistema de injeção,Falha no sensor de oxigênio,Substituir o sensor de oxigênio
Carro não para completamente,Sistema de transmissão,Carro não para completamente,Verificar e substituir o freio de mão
Ruído ao girar a chave,Sistema de lubrificação,Barulho ao girar a chave,Trocar o motor de partida
Problemas com o sistema de combustível,Freio de estacionamento,Problemas no sistema de combustível,Verificar e ajustar o sistema de combustível
Carro não responde ao volante,Sistema de climatização,Volante não responde,Trocar a caixa de direção
Fumaça preta do escapamento,Mangueira de combustível,Fumaça preta,Substituir o motor de exaustão
Carro não acelera como deveria,Filtro de óleo,Desempenho irregular,Trocar o filtro de combustível
Problemas com o motor de arranque,Sistema de ventilação,Problemas no motor de arranque,Substituir o motor de arranque
Barulho de engrenagem,Sistema de transmissão automática,Barulho de engrenagem,Trocar o sistema de transmissão
Carro não segura a marcha,Módulo de controle do motor,Marcha não segura,Substituir o câmbio automático
Problemas na bomba d'água,Sensores de velocidade,Problemas na bomba d'água,Trocar a bomba d'água
Carro faz barulho ao virar,Interruptor de luz,Barulho ao virar,Verificar e substituir os pivôs de direção
Luz de injeção acesa,Sistema de ignição digital,Luz de injeção acesa,Trocar o sensor de injeção
Problemas com o sistema de transmissão,Válvula termostática,Problemas na transmissão,Substituir o sistema de transmissão
